iter,group,variant,target,issued_target,parse_noise,disturbed,closed_loop,max_retry,attempts_used,set_ok_last,set_fault_last,set_rtt_ms_last,disturb_ok_last,disturb_fault_last,disturb_rtt_ms_last,probe_ok_last,probe_fault_last,probe_value_last,probe_rtt_ms_last,converged,rtt_total_ms
90,G1_text_proxy,guarded,0,0,0,0,0,1,1,1,,13.569,,,,1,,0,3.026,1,16.595
91,G1_text_proxy,guarded,1,1,0,1,0,1,1,1,,13.619,1,,4.096,1,,0,3.660,0,21.375
92,G1_text_proxy,guarded,0,0,0,1,0,1,1,1,,14.172,1,,3.704,1,,1,3.199,0,21.075
93,G1_text_proxy,guarded,1,1,0,0,0,1,1,1,,13.806,,,,1,,1,3.770,1,17.577
94,G1_text_proxy,guarded,0,0,0,1,0,1,1,1,,13.355,1,,3.847,1,,1,3.346,0,20.548
95,G1_text_proxy,guarded,1,1,0,1,0,1,1,1,,13.989,1,,3.432,1,,0,3.005,0,20.426
96,G1_text_proxy,guarded,0,0,0,1,0,1,1,1,,13.511,1,,3.088,1,,1,3.597,0,20.196
97,G1_text_proxy,guarded,1,1,0,1,0,1,1,1,,14.229,1,,3.768,1,,0,3.169,0,21.167
98,G1_text_proxy,guarded,0,0,0,0,0,1,1,1,,13.839,,,,1,,0,3.303,1,17.142
99,G1_text_proxy,guarded,1,1,0,1,0,1,1,1,,13.903,1,,3.902,1,,0,3.398,0,21.202
100,G1_text_proxy,guarded,0,0,0,1,0,1,1,1,,13.997,1,,3.451,1,,1,2.988,0,20.437
1,G2_m_no_o,guarded,1,1,0,1,0,1,1,1,,13.516,1,,4.042,1,,0,3.560,0,21.118
2,G2_m_no_o,guarded,0,0,0,0,0,1,1,1,,14.168,,,,1,,0,3.652,1,17.820
3,G2_m_no_o,guarded,1,1,0,0,0,1,1,1,,14.233,,,,1,,1,3.718,1,17.952
4,G2_m_no_o,guarded,0,0,0,1,0,1,1,1,,13.280,1,,3.945,1,,1,3.295,0,20.521
5,G2_m_no_o,guarded,1,1,0,0,0,1,1,1,,14.109,,,,1,,1,3.850,1,17.959
6,G2_m_no_o,guarded,0,0,0,0,0,1,1,1,,13.614,,,,1,,0,2.917,1,16.531
7,G2_m_no_o,guarded,1,1,0,1,0,1,1,1,,13.628,1,,3.142,1,,0,3.688,0,20.458
8,G2_m_no_o,guarded,0,0,0,0,0,1,1,1,,14.186,,,,1,,0,3.703,1,17.889
9,G2_m_no_o,guarded,1,1,0,0,0,1,1,1,,14.245,,,,1,,1,3.716,1,17.961
10,G2_m_no_o,guarded,0,0,0,0,0,1,1,1,,13.271,,,,1,,0,3.747,1,17.019
11,G2_m_no_o,guarded,1,1,0,0,0,1,1,1,,13.807,,,,1,,1,3.284,1,17.091
12,G2_m_no_o,guarded,0,0,0,0,0,1,1,1,,13.874,,,,1,,0,3.848,1,17.722
13,G2_m_no_o,guarded,1,1,0,1,0,1,1,1,,13.484,1,,3.872,1,,0,3.437,0,20.792
14,G2_m_no_o,guarded,0,0,0,1,0,1,1,1,,14.184,1,,3.663,1,,1,3.199,0,21.046
15,G2_m_no_o,guarded,1,1,0,0,0,1,1,1,,13.737,,,,1,,1,3.229,1,16.967
16,G2_m_no_o,guarded,0,0,0,1,0,1,1,1,,13.785,1,,3.308,1,,1,3.853,0,20.946
17,G2_m_no_o,guarded,1,1,0,1,0,1,1,1,,13.315,1,,3.884,1,,0,3.365,0,20.564
18,G2_m_no_o,guarded,0,0,0,1,0,1,1,1,,14.104,1,,3.939,1,,1,3.439,0,21.482
19,G2_m_no_o,guarded,1,1,0,0,0,1,1,1,,14.191,,,,1,,1,3.536,1,17.727
20,G2_m_no_o,guarded,0,0,0,0,0,1,1,1,,14.226,,,,1,,0,3.743,1,17.969
21,G2_m_no_o,guarded,1,1,0,1,0,1,1,1,,13.317,1,,3.806,1,,0,3.358,0,20.482
22,G2_m_no_o,guarded,0,0,0,0,0,1,1,1,,13.887,,,,1,,0,3.393,1,17.281
23,G2_m_no_o,guarded,1,1,0,0,0,1,1,1,,14.499,,,,1,,1,2.954,1,17.453
24,G2_m_no_o,guarded,0,0,0,1,0,1,1,1,,13.536,1,,4.088,1,,1,3.541,0,21.165
25,G2_m_no_o,guarded,1,1,0,1,0,1,1,1,,14.264,1,,3.749,1,,0,3.246,0,21.259
26,G2_m_no_o,guarded,0,0,0,0,0,1,1,1,,13.799,,,,1,,0,3.254,1,17.053
27,G2_m_no_o,guarded,1,1,0,0,0,1,1,1,,13.887,,,,1,,1,3.847,1,17.734
28,G2_m_no_o,guarded,0,0,0,1,0,1,1,1,,13.384,1,,3.884,1,,1,3.413,0,20.681
29,G2_m_no_o,guarded,1,1,0,0,0,1,1,1,,14.007,,,,1,,1,3.475,1,17.481
30,G2_m_no_o,guarded,0,0,0,0,0,1,1,1,,14.028,,,,1,,0,3.587,1,17.615
31,G2_m_no_o,guarded,1,1,0,0,0,1,1,1,,14.274,,,,1,,1,3.602,1,17.876
32,G2_m_no_o,guarded,0,0,0,0,0,1,1,1,,14.328,,,,1,,0,3.832,1,18.160
33,G2_m_no_o,guarded,1,1,0,0,0,1,1,1,,13.952,,,,1,,1,3.286,1,17.238
34,G2_m_no_o,guarded,0,0,0,1,0,1,1,1,,14.013,1,,3.960,1,,1,3.497,0,21.470
35,G2_m_no_o,guarded,1,1,0,0,0,1,1,1,,14.055,,,,1,,1,3.519,1,17.575
36,G2_m_no_o,guarded,0,0,0,0,0,1,1,1,,14.072,,,,1,,0,3.546,1,17.619
37,G2_m_no_o,guarded,1,1,0,0,0,1,1,1,,14.176,,,,1,,1,3.609,1,17.784
38,G2_m_no_o,guarded,0,0,0,1,0,1,1,1,,14.350,1,,3.851,1,,1,3.531,0,21.733
39,G2_m_no_o,guarded,1,1,0,0,0,1,1,1,,14.280,,,,1,,1,3.737,1,18.017
40,G2_m_no_o,guarded,0,0,0,0,0,1,1,1,,13.343,,,,1,,0,3.887,1,17.229
41,G2_m_no_o,guarded,1,1,0,1,0,1,1,1,,13.418,1,,3.923,1,,0,2.887,0,20.228
42,G2_m_no_o,guarded,0,0,0,0,0,1,1,1,,13.519,,,,1,,0,2.923,1,16.442
43,G2_m_no_o,guarded,1,1,0,0,0,1,1,1,,13.497,,,,1,,1,3.008,1,16.505
44,G2_m_no_o,guarded,0,0,0,0,0,1,1,1,,13.573,,,,1,,0,3.028,1,16.601
45,G2_m_no_o,guarded,1,1,0,0,0,1,1,1,,13.805,,,,1,,1,3.553,1,17.358
46,G2_m_no_o,guarded,0,0,0,0,0,1,1,1,,14.134,,,,1,,0,3.631,1,17.765
47,G2_m_no_o,guarded,1,1,0,1,0,1,1,1,,14.349,1,,3.846,1,,0,3.350,0,21.544
48,G2_m_no_o,guarded,0,0,0,1,0,1,1,1,,13.938,1,,3.463,1,,1,2.929,0,20.329
49,G2_m_no_o,guarded,1,1,0,0,0,1,1,1,,13.523,,,,1,,1,3.015,1,16.538
50,G2_m_no_o,guarded,0,0,0,0,0,1,1,1,,13.545,,,,1,,0,3.518,1,17.063
51,G2_m_no_o,guarded,1,1,0,0,0,1,1,1,,14.072,,,,1,,1,3.562,1,17.634
52,G2_m_no_o,guarded,0,0,0,0,0,1,1,1,,14.242,,,,1,,0,3.589,1,17.831
53,G2_m_no_o,guarded,1,1,0,1,0,1,1,1,,14.354,1,,3.877,1,,0,3.715,0,21.945
54,G2_m_no_o,guarded,0,0,0,0,0,1,1,1,,13.466,,,,1,,0,3.762,1,17.228
55,G2_m_no_o,guarded,1,1,0,0,0,1,1,1,,13.505,,,,1,,1,2.789,1,16.294
56,G2_m_no_o,guarded,0,0,0,0,0,1,1,1,,13.561,,,,1,,0,3.038,1,16.598
57,G2_m_no_o,guarded,1,1,0,0,0,1,1,1,,14.076,,,,1,,1,3.526,1,17.602
58,G2_m_no_o,guarded,0,0,0,0,0,1,1,1,,14.098,,,,1,,0,3.610,1,17.708
59,G2_m_no_o,guarded,1,1,0,0,0,1,1,1,,14.128,,,,1,,1,3.679,1,17.807
60,G2_m_no_o,guarded,0,0,0,0,0,1,1,1,,14.755,,,,1,,0,3.216,1,17.972
61,G2_m_no_o,guarded,1,1,0,0,0,1,1,1,,13.776,,,,1,,1,3.276,1,17.052
62,G2_m_no_o,guarded,0,0,0,0,0,1,1,1,,13.842,,,,1,,0,3.852,1,17.694
63,G2_m_no_o,guarded,1,1,0,0,0,1,1,1,,13.404,,,,1,,1,3.901,1,17.304
64,G2_m_no_o,guarded,0,0,0,0,0,1,1,1,,13.680,,,,1,,0,2.908,1,16.589
65,G2_m_no_o,guarded,1,1,0,0,0,1,1,1,,13.709,,,,1,,1,3.450,1,17.159
66,G2_m_no_o,guarded,0,0,0,1,0,1,1,1,,14.257,1,,4.049,1,,1,3.557,0,21.864
67,G2_m_no_o,guarded,1,1,0,0,0,1,1,1,,13.604,,,,1,,1,3.103,1,16.706
68,G2_m_no_o,guarded,0,0,0,0,0,1,1,1,,13.852,,,,1,,0,3.597,1,17.448
69,G2_m_no_o,guarded,1,1,0,0,0,1,1,1,,14.203,,,,1,,1,3.160,1,17.362
70,G2_m_no_o,guarded,0,0,0,0,0,1,1,1,,13.758,,,,1,,0,3.189,1,16.947
71,G2_m_no_o,guarded,1,1,0,0,0,1,1,1,,13.849,,,,1,,1,3.254,1,17.103
72,G2_m_no_o,guarded,0,0,0,1,0,1,1,1,,14.054,1,,4.040,1,,1,3.511,0,21.605
73,G2_m_no_o,guarded,1,1,0,1,0,1,1,1,,14.096,1,,3.575,1,,0,3.624,0,21.294
74,G2_m_no_o,guarded,0,0,0,0,0,1,1,1,,14.171,,,,1,,0,3.652,1,17.823
75,G2_m_no_o,guarded,1,1,0,1,0,1,1,1,,14.281,1,,3.753,1,,0,3.268,0,21.302
76,G2_m_no_o,guarded,0,0,0,0,0,1,1,1,,13.832,,,,1,,0,3.324,1,17.157
77,G2_m_no_o,guarded,1,1,0,0,0,1,1,1,,13.836,,,,1,,1,3.385,1,17.221
78,G2_m_no_o,guarded,0,0,0,0,0,1,1,1,,14.102,,,,1,,0,3.579,1,17.681
79,G2_m_no_o,guarded,1,1,0,1,0,1,1,1,,13.449,1,,3.933,1,,0,3.425,0,20.806
80,G2_m_no_o,guarded,0,0,0,1,0,1,1,1,,14.157,1,,3.638,1,,1,3.181,0,20.977
81,G2_m_no_o,guarded,1,1,0,1,0,1,1,1,,13.749,1,,3.722,1,,0,3.223,0,20.694
82,G2_m_no_o,guarded,0,0,0,0,0,1,1,1,,13.810,,,,1,,0,3.309,1,17.118
83,G2_m_no_o,guarded,1,1,0,0,0,1,1,1,,13.874,,,,1,,1,3.372,1,17.246
84,G2_m_no_o,guarded,0,0,0,0,0,1,1,1,,13.916,,,,1,,0,3.419,1,17.335
85,G2_m_no_o,guarded,1,1,0,0,0,1,1,1,,14.171,,,,1,,1,3.516,1,17.687
86,G2_m_no_o,guarded,0,0,0,0,0,1,1,1,,14.235,,,,1,,0,3.737,1,17.972
87,G2_m_no_o,guarded,1,1,0,1,0,1,1,1,,14.134,1,,3.582,1,,0,3.106,0,20.823
88,G2_m_no_o,guarded,0,0,0,0,0,1,1,1,,13.830,,,,1,,0,3.157,1,16.987
89,G2_m_no_o,guarded,1,1,0,0,0,1,1,1,,13.885,,,,1,,1,3.288,1,17.173
90,G2_m_no_o,guarded,0,0,0,0,0,1,1,1,,13.426,,,,1,,0,3.913,1,17.338
91,G2_m_no_o,guarded,1,1,0,1,0,1,1,1,,13.457,1,,3.959,1,,0,3.461,0,20.877
92,G2_m_no_o,guarded,0,0,0,1,0,1,1,1,,14.212,1,,3.722,1,,1,3.239,0,21.172
93,G2_m_no_o,guarded,1,1,0,0,0,1,1,1,,13.789,,,,1,,1,3.270,1,17.059
94,G2_m_no_o,guarded,0,0,0,1,0,1,1,1,,13.817,1,,3.317,1,,1,3.865,0,20.998
95,G2_m_no_o,guarded,1,1,0,1,0,1,1,1,,13.417,1,,3.925,1,,0,3.435,0,20.776
96,G2_m_no_o,guarded,0,0,0,1,0,1,1,1,,14.191,1,,3.712,1,,1,3.205,0,21.108
97,G2_m_no_o,guarded,1,1,0,1,0,1,1,1,,13.763,1,,3.265,1,,0,3.121,0,20.150
98,G2_m_no_o,guarded,0,0,0,0,0,1,1,1,,13.804,,,,1,,0,3.140,1,16.943
99,G2_m_no_o,guarded,1,1,0,1,0,1,1,1,,13.856,1,,3.335,1,,0,3.907,0,21.098
100,G2_m_no_o,guarded,0,0,0,1,0,1,1,1,,13.419,1,,3.414,1,,1,3.929,0,20.763
1,G4_m_with_o_no_retry,guarded,1,1,0,1,1,1,1,1,,13.469,1,,3.993,1,,0,3.488,0,20.950
2,G4_m_with_o_no_retry,guarded,0,0,0,0,1,1,1,1,,14.095,,,,1,,0,3.543,1,17.638
3,G4_m_with_o_no_retry,guarded,1,1,0,0,1,1,1,1,,14.290,,,,1,,1,3.599,1,17.890
4,G4_m_with_o_no_retry,guarded,0,0,0,1,1,1,1,1,,13.661,1,,3.097,1,,1,3.660,0,20.418
5,G4_m_with_o_no_retry,guarded,1,1,0,0,1,1,1,1,,14.228,,,,1,,1,3.702,1,17.930
6,G4_m_with_o_no_retry,guarded,0,0,0,0,1,1,1,1,,13.439,,,,1,,0,3.696,1,17.135
7,G4_m_with_o_no_retry,guarded,1,1,0,1,1,1,1,1,,13.482,1,,3.285,1,,0,3.820,0,20.586
8,G4_m_with_o_no_retry,guarded,0,0,0,0,1,1,1,1,,13.382,,,,1,,0,2.879,1,16.262
9,G4_m_with_o_no_retry,guarded,1,1,0,0,1,1,1,1,,13.636,,,,1,,1,2.929,1,16.564
10,G4_m_with_o_no_retry,guarded,0,0,0,0,1,1,1,1,,13.672,,,,1,,0,3.481,1,17.153
11,G4_m_with_o_no_retry,guarded,1,1,0,0,1,1,1,1,,14.091,,,,1,,1,3.576,1,17.668
12,G4_m_with_o_no_retry,guarded,0,0,0,0,1,1,1,1,,14.179,,,,1,,0,3.650,1,17.829
13,G4_m_with_o_no_retry,guarded,1,1,0,1,1,1,1,1,,14.361,1,,3.856,1,,0,3.356,0,21.573
14,G4_m_with_o_no_retry,guarded,0,0,0,1,1,1,1,1,,13.929,1,,3.410,1,,1,2.904,0,20.242
15,G4_m_with_o_no_retry,guarded,1,1,0,0,1,1,1,1,,13.993,,,,1,,1,3.474,1,17.468
16,G4_m_with_o_no_retry,guarded,0,0,0,1,1,1,1,1,,14.065,1,,3.539,1,,1,3.039,0,20.643
17,G4_m_with_o_no_retry,guarded,1,1,0,1,1,1,1,1,,13.613,1,,3.075,1,,0,3.578,0,20.266
18,G4_m_with_o_no_retry,guarded,0,0,0,1,1,1,1,1,,14.378,1,,3.827,1,,1,3.329,0,21.534
19,G4_m_with_o_no_retry,guarded,1,1,0,0,1,1,1,1,,13.944,,,,1,,1,3.410,1,17.354
20,G4_m_with_o_no_retry,guarded,0,0,0,0,1,1,1,1,,14.007,,,,1,,0,3.492,1,17.500
21,G4_m_with_o_no_retry,guarded,1,1,0,1,1,1,1,1,,14.106,1,,3.576,1,,0,3.587,0,21.270
22,G4_m_with_o_no_retry,guarded,0,0,0,0,1,1,1,1,,14.147,,,,1,,0,3.641,1,17.788
23,G4_m_with_o_no_retry,guarded,1,1,0,0,1,1,1,1,,14.196,,,,1,,1,3.697,1,17.893
24,G4_m_with_o_no_retry,guarded,0,0,0,1,1,1,1,1,,14.405,1,,4.225,1,,1,3.744,0,22.374
25,G4_m_with_o_no_retry,guarded,1,1,0,1,1,1,1,1,,13.343,1,,3.782,1,,0,3.336,0,20.462
